/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v13_phaseA2_unified_nscalable_poswtdice_pairrank_imgcuerank_kdet_spaced2_64_20260418_002703_2b3bdf10b357/aslmt_train_v13_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_pairrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 0 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 8 --z-classes 8 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v13_phaseA2_unified_nscalable_poswtdice_pairrank_imgcuerank_kdet_spaced2_64_20260418_002703_2b3bdf10b357/v13_master_20260418_002703_2b3bdf10b357.jsonl --out-ckpt /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v13_phaseA2_unified_nscalable_poswtdice_pairrank_imgcuerank_kdet_spaced2_64_20260418_002703_2b3bdf10b357/ckpt_20260418_002703_2b3bdf10b357_n8_z8_seed0.pt --out-faildump-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v13_phaseA2_unified_nscalable_poswtdice_pairrank_imgcuerank_kdet_spaced2_64_20260418_002703_2b3bdf10b357/faildump_20260418_002703_2b3bdf10b357_n8_z8_seed0.jsonl

step=4500/9000 loss=0.472995 (A_seg=0.124479, A_bce=0.051164, A_dice=0.293263, A_z=0.068156, A_pos=0.000862, A_rank_img=0.030087, A_rank_cue=0.000000, Bimg=0.036701, Bcue=0.371630)  z_acc=1.0000 k_acc=1.0000
step=4750/9000 loss=0.363811 (A_seg=0.093858, A_bce=0.036460, A_dice=0.229590, A_z=0.053977, A_pos=0.000265, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.036605, Bcue=0.270456)  z_acc=1.0000 k_acc=1.0000
step=5000/9000 loss=0.439724 (A_seg=0.206896, A_bce=0.123290, A_dice=0.334427, A_z=0.046549, A_pos=0.000337, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.041929, Bcue=0.219234)  z_acc=1.0000 k_acc=1.0000
step=5250/9000 loss=0.279391 (A_seg=0.081863, A_bce=0.028094, A_dice=0.215076, A_z=0.039488, A_pos=0.000349, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.035793, Bcue=0.182485)  z_acc=1.0000 k_acc=1.0000
step=5500/9000 loss=0.276288 (A_seg=0.086985, A_bce=0.032482, A_dice=0.218013, A_z=0.037832, A_pos=0.000562, A_rank_img=0.000001, A_rank_cue=0.000000, Bimg=0.036434, Bcue=0.158103)  z_acc=1.0000 k_acc=1.0000
step=5750/9000 loss=0.644166 (A_seg=0.217061, A_bce=0.126923, A_dice=0.360551, A_z=0.085355, A_pos=0.000932, A_rank_img=0.000395, A_rank_cue=0.000000, Bimg=0.040235, Bcue=0.143008)  z_acc=0.9844 k_acc=1.0000
step=6000/9000 loss=0.367643 (A_seg=0.197768, A_bce=0.094373, A_dice=0.413580, A_z=0.033529, A_pos=0.001813, A_rank_img=0.007108, A_rank_cue=0.000000, Bimg=0.039269, Bcue=0.128644)  z_acc=1.0000 k_acc=1.0000
step=6250/9000 loss=0.235421 (A_seg=0.108148, A_bce=0.044190, A_dice=0.255833, A_z=0.023700, A_pos=0.000921, A_rank_img=0.034166, A_rank_cue=0.000000, Bimg=0.035294, Bcue=0.114472)  z_acc=1.0000 k_acc=1.0000
step=6500/9000 loss=0.213255 (A_seg=0.111542, A_bce=0.045918, A_dice=0.262495, A_z=0.020333, A_pos=0.000187, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.039183, Bcue=0.108798)  z_acc=1.0000 k_acc=1.0000
step=6750/9000 loss=0.210938 (A_seg=0.115701, A_bce=0.047516, A_dice=0.272739, A_z=0.019036, A_pos=0.000216, A_rank_img=0.000005, A_rank_cue=0.000000, Bimg=0.039231, Bcue=0.101364)  z_acc=1.0000 k_acc=1.0000
step=7000/9000 loss=0.191259 (A_seg=0.105601, A_bce=0.040704, A_dice=0.259589, A_z=0.017116, A_pos=0.000319, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.039324, Bcue=0.095394)  z_acc=1.0000 k_acc=1.0000
step=7250/9000 loss=0.140853 (A_seg=0.069096, A_bce=0.026147, A_dice=0.171798, A_z=0.014343, A_pos=0.000166, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.034556, Bcue=0.086266)  z_acc=1.0000 k_acc=1.0000
step=7500/9000 loss=0.359066 (A_seg=0.081402, A_bce=0.038670, A_dice=0.170930, A_z=0.013728, A_pos=0.000225, A_rank_img=0.835878, A_rank_cue=0.000000, Bimg=0.036215, Bcue=0.081976)  z_acc=1.0000 k_acc=1.0000
step=7750/9000 loss=0.139070 (A_seg=0.082286, A_bce=0.030490, A_dice=0.207183, A_z=0.011325, A_pos=0.000633, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.034643, Bcue=0.078570)  z_acc=1.0000 k_acc=1.0000
step=8000/9000 loss=0.167958 (A_seg=0.113100, A_bce=0.051480, A_dice=0.246482, A_z=0.010960, A_pos=0.000226, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.034096, Bcue=0.075260)  z_acc=1.0000 k_acc=1.0000
step=8250/9000 loss=0.146591 (A_seg=0.097344, A_bce=0.038525, A_dice=0.235273, A_z=0.009840, A_pos=0.000194, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.038233, Bcue=0.077095)  z_acc=1.0000 k_acc=1.0000
step=8500/9000 loss=0.112598 (A_seg=0.070647, A_bce=0.027772, A_dice=0.171503, A_z=0.008383, A_pos=0.000138, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.034603, Bcue=0.071031)  z_acc=1.0000 k_acc=1.0000
step=8750/9000 loss=0.113308 (A_seg=0.073640, A_bce=0.029604, A_dice=0.176144, A_z=0.007926, A_pos=0.000150, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.034898, Bcue=0.068849)  z_acc=1.0000 k_acc=1.0000
step=9000/9000 loss=0.140956 (A_seg=0.102827, A_bce=0.048912, A_dice=0.215658, A_z=0.007618, A_pos=0.000153, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.039495, Bcue=0.072709)  z_acc=1.0000 k_acc=1.0000
{"kind": "aslmt_v13_unified_double_barrier_minlift_poswtdice_pairrank_imgcuerank_spaced2_64", "seed": 0, "n_classes": 8, "z_classes": 8, "train_ood_ratio": 0.5, "rank_ood_ratio": 0.5, "rank_n_ctx": 8, "w_z": 5.0, "w_k": 0.0, "w_pos": 0.25, "w_rank_img": 0.25, "w_rank_cue": 0.25, "w_bce": 1.0, "w_dice": 0.25, "bce_pos_weight": "batch", "metrics": {"iid": {"A_iou": 0.7558566778898239, "B_img_iou": 0.0, "B_cue_iou": 0.0, "z_acc": 1.0, "k_acc": 1.0}, "ood": {"A_iou": 0.6786358505487442, "B_img_iou": 0.0, "B_cue_iou": 0.0, "z_acc": 1.0, "k_acc": 1.0}}, "pair_eval": {"iid": {"n_ctx": 64, "ood": false, "obs_image_barrier_ok": true, "obs_cue_barrier_ok": true, "A_both_image_pair_rate": 1.0, "A_both_cue_pair_rate": 1.0, "B_image_only_both_rate": 0.0, "B_cue_only_both_rate": 0.0, "A_ablated_both_image_pair_rate": 0.0, "A_swap_follow_image_pair_rate": 1.0, "A_swap_orig_both_image_pair_rate": 0.0, "seed": 0}, "ood": {"n_ctx": 64, "ood": true, "obs_image_barrier_ok": true, "obs_cue_barrier_ok": true, "A_both_image_pair_rate": 1.0, "A_both_cue_pair_rate": 1.0, "B_image_only_both_rate": 0.0, "B_cue_only_both_rate": 0.0, "A_ablated_both_image_pair_rate": 0.0, "A_swap_follow_image_pair_rate": 1.0, "A_swap_orig_both_image_pair_rate": 0.0, "seed": 0}}}
