/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/aslmt_train_v15_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 0 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 12 --z-classes 6 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/v15_master_20260420_082149_5c9bb19a82ab.jsonl

step=5250/9000 loss=8.226249 (A_seg=0.598699, A_bce=0.401159, A_dice=0.790159, A_z=1.524796, A_pos=0.014286, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.061855, Bcue=0.071983)  z_acc=0.2344 k_acc=1.0000
step=5500/9000 loss=7.758151 (A_seg=0.346375, A_bce=0.186843, A_dice=0.638127, A_z=1.482048, A_pos=0.006146, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.055609, Bcue=0.066039)  z_acc=0.2656 k_acc=1.0000
step=5750/9000 loss=8.935989 (A_seg=0.576918, A_bce=0.405598, A_dice=0.685279, A_z=1.649217, A_pos=0.005787, A_rank_img=0.446168, A_rank_cue=0.000000, Bimg=0.060588, Bcue=0.072282)  z_acc=0.0625 k_acc=1.0000
step=6000/9000 loss=7.820035 (A_seg=0.380673, A_bce=0.216005, A_dice=0.658673, A_z=1.481396, A_pos=0.004523, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.061294, Bcue=0.071540)  z_acc=0.1875 k_acc=1.0000
step=6250/9000 loss=7.458497 (A_seg=0.440791, A_bce=0.263931, A_dice=0.707440, A_z=1.403200, A_pos=0.006825, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.060617, Bcue=0.073473)  z_acc=0.2188 k_acc=1.0000
step=6500/9000 loss=7.736732 (A_seg=0.365042, A_bce=0.209832, A_dice=0.620842, A_z=1.474057, A_pos=0.005618, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.054164, Bcue=0.067538)  z_acc=0.1406 k_acc=1.0000
step=6750/9000 loss=7.861617 (A_seg=0.464272, A_bce=0.292820, A_dice=0.685808, A_z=1.478863, A_pos=0.006040, A_rank_img=0.006088, A_rank_cue=0.000000, Bimg=0.061281, Bcue=0.070688)  z_acc=0.1875 k_acc=1.0000
step=7000/9000 loss=6.991270 (A_seg=0.456160, A_bce=0.279345, A_dice=0.707257, A_z=1.300379, A_pos=0.007854, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.062143, Bcue=0.071828)  z_acc=0.2812 k_acc=1.0000
step=7250/9000 loss=7.262640 (A_seg=0.534227, A_bce=0.340813, A_dice=0.773656, A_z=1.338752, A_pos=0.013614, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.062109, Bcue=0.073892)  z_acc=0.3125 k_acc=1.0000
step=7500/9000 loss=7.793119 (A_seg=0.423444, A_bce=0.247177, A_dice=0.705065, A_z=1.467244, A_pos=0.008830, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.054108, Bcue=0.067303)  z_acc=0.0938 k_acc=1.0000
step=7750/9000 loss=6.542538 (A_seg=0.469704, A_bce=0.287351, A_dice=0.729410, A_z=1.194713, A_pos=0.010319, A_rank_img=0.386758, A_rank_cue=0.000000, Bimg=0.060756, Bcue=0.072093)  z_acc=0.3594 k_acc=1.0000
step=8000/9000 loss=7.463840 (A_seg=0.553180, A_bce=0.367074, A_dice=0.744422, A_z=1.378252, A_pos=0.010068, A_rank_img=0.067533, A_rank_cue=0.000000, Bimg=0.061042, Bcue=0.070537)  z_acc=0.3125 k_acc=1.0000
step=8250/9000 loss=6.942555 (A_seg=0.393794, A_bce=0.224519, A_dice=0.677102, A_z=1.306822, A_pos=0.009969, A_rank_img=0.048633, A_rank_cue=0.000000, Bimg=0.055436, Bcue=0.067026)  z_acc=0.3906 k_acc=1.0000
step=8500/9000 loss=6.006231 (A_seg=0.448973, A_bce=0.273522, A_dice=0.701802, A_z=1.090435, A_pos=0.010468, A_rank_img=0.409862, A_rank_cue=0.000000, Bimg=0.061596, Bcue=0.072940)  z_acc=0.5938 k_acc=1.0000
step=8750/9000 loss=6.184932 (A_seg=0.379940, A_bce=0.216519, A_dice=0.653684, A_z=1.154187, A_pos=0.011224, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.055274, Bcue=0.068489)  z_acc=0.5156 k_acc=1.0000
step=9000/9000 loss=6.402656 (A_seg=0.442368, A_bce=0.266328, A_dice=0.704162, A_z=1.191513, A_pos=0.010892, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.060873, Bcue=0.071926)  z_acc=0.4688 k_acc=1.0000
{"kind": "aslmt_v15_unified_double_barrier_minlift_poswtdice_contractrank_imgcuerank_spaced2_64", "seed": 0, "n_classes": 12, "z_classes": 6, "train_ood_ratio": 0.5, "rank_ood_ratio": 0.5, "rank_n_ctx": 8, "rank_margin": 1.0, "w_z": 5.0, "w_k": 0.0, "w_pos": 0.25, "w_rank_img": 0.25, "w_rank_cue": 0.25, "w_bce": 1.0, "w_dice": 0.25, "bce_pos_weight": "batch", "metrics": {"iid": {"A_iou": 0.2072308100759983, "B_img_iou": 0.0, "B_cue_iou": 0.0, "z_acc": 0.4931640625, "k_acc": 1.0}, "ood": {"A_iou": 0.1705835498869419, "B_img_iou": 0.0, "B_cue_iou": 0.0, "z_acc": 0.49609375, "k_acc": 1.0}}, "pair_eval": {"iid": {"n_ctx": 64, "ood": false, "obs_image_barrier_ok": true, "obs_cue_barrier_ok": true, "A_both_image_pair_rate": 0.890625, "A_both_cue_pair_rate": 1.0, "B_image_only_both_rate": 0.0, "B_cue_only_both_rate": 0.0, "A_ablated_both_image_pair_rate": 0.0, "A_swap_follow_image_pair_rate": 0.890625, "A_swap_orig_both_image_pair_rate": 0.0, "seed": 0}, "ood": {"n_ctx": 64, "ood": true, "obs_image_barrier_ok": true, "obs_cue_barrier_ok": true, "A_both_image_pair_rate": 0.875, "A_both_cue_pair_rate": 1.0, "B_image_only_both_rate": 0.0, "B_cue_only_both_rate": 0.0, "A_ablated_both_image_pair_rate": 0.0, "A_swap_follow_image_pair_rate": 0.875, "A_swap_orig_both_image_pair_rate": 0.0, "seed": 0}}}
