/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/aslmt_train_v15_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 4 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 12 --z-classes 12 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/v15_master_20260420_082149_5c9bb19a82ab.jsonl --out-ckpt /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/ckpt_20260420_082149_5c9bb19a82ab_n12_z12_seed4.pt --out-faildump-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/faildump_20260420_082149_5c9bb19a82ab_n12_z12_seed4.jsonl

step=250/9000 loss=12.382352 (A_seg=0.817013, A_bce=0.599115, A_dice=0.871593, A_z=2.269634, A_pos=0.021574, A_rank_img=0.633435, A_rank_cue=0.213669, Bimg=0.061540, Bcue=0.071104)  z_acc=0.6250 k_acc=1.0000
step=500/9000 loss=9.848096 (A_seg=0.711118, A_bce=0.496273, A_dice=0.859377, A_z=1.812229, A_pos=0.022982, A_rank_img=0.280359, A_rank_cue=0.000000, Bimg=0.056519, Bcue=0.072678)  z_acc=0.8750 k_acc=1.0000
step=750/9000 loss=7.756363 (A_seg=0.621305, A_bce=0.416661, A_dice=0.818579, A_z=1.402892, A_pos=0.012332, A_rank_img=0.470068, A_rank_cue=0.000000, Bimg=0.055765, Bcue=0.067930)  z_acc=0.9375 k_acc=1.0000
step=1000/9000 loss=6.563736 (A_seg=0.555387, A_bce=0.361476, A_dice=0.775646, A_z=1.194581, A_pos=0.009318, A_rank_img=0.132455, A_rank_cue=0.000000, Bimg=0.055496, Bcue=0.068837)  z_acc=1.0000 k_acc=1.0000
step=1250/9000 loss=5.092150 (A_seg=0.316657, A_bce=0.170409, A_dice=0.584991, A_z=0.953765, A_pos=0.004183, A_rank_img=0.022488, A_rank_cue=0.000000, Bimg=0.055404, Bcue=0.068419)  z_acc=1.0000 k_acc=1.0000
step=1500/9000 loss=4.626066 (A_seg=0.369908, A_bce=0.221959, A_dice=0.591795, A_z=0.851081, A_pos=0.003012, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.062161, Bcue=0.071847)  z_acc=1.0000 k_acc=1.0000
step=1750/9000 loss=3.854372 (A_seg=0.242531, A_bce=0.130307, A_dice=0.448894, A_z=0.722295, A_pos=0.001469, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.055612, Bcue=0.067744)  z_acc=1.0000 k_acc=1.0000
step=2000/9000 loss=3.130367 (A_seg=0.218069, A_bce=0.117694, A_dice=0.401498, A_z=0.575206, A_pos=0.000701, A_rank_img=0.144379, A_rank_cue=0.000000, Bimg=0.061093, Bcue=0.071393)  z_acc=1.0000 k_acc=1.0000
step=2250/9000 loss=2.756638 (A_seg=0.211682, A_bce=0.108481, A_dice=0.412802, A_z=0.508956, A_pos=0.000705, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.060260, Bcue=0.071479)  z_acc=1.0000 k_acc=1.0000
step=2500/9000 loss=2.375477 (A_seg=0.225894, A_bce=0.118692, A_dice=0.428807, A_z=0.429880, A_pos=0.000729, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.058495, Bcue=0.072142)  z_acc=1.0000 k_acc=1.0000
step=2750/9000 loss=1.909053 (A_seg=0.183829, A_bce=0.085173, A_dice=0.394623, A_z=0.345012, A_pos=0.000654, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.053410, Bcue=0.066802)  z_acc=1.0000 k_acc=1.0000
step=3000/9000 loss=1.662279 (A_seg=0.150741, A_bce=0.068427, A_dice=0.329255, A_z=0.302274, A_pos=0.000669, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.053516, Bcue=0.067525)  z_acc=1.0000 k_acc=1.0000
step=3250/9000 loss=1.456064 (A_seg=0.181156, A_bce=0.090104, A_dice=0.364207, A_z=0.254959, A_pos=0.000447, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.057845, Bcue=0.071422)  z_acc=1.0000 k_acc=1.0000
step=3500/9000 loss=1.280294 (A_seg=0.204026, A_bce=0.107600, A_dice=0.385703, A_z=0.215229, A_pos=0.000492, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.059141, Bcue=0.071469)  z_acc=1.0000 k_acc=1.0000
step=3750/9000 loss=0.987077 (A_seg=0.151435, A_bce=0.073641, A_dice=0.311176, A_z=0.167103, A_pos=0.000501, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.053996, Bcue=0.067227)  z_acc=1.0000 k_acc=1.0000
step=4000/9000 loss=0.953102 (A_seg=0.201147, A_bce=0.102828, A_dice=0.393277, A_z=0.150368, A_pos=0.000465, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.059544, Bcue=0.073698)  z_acc=1.0000 k_acc=1.0000
step=4250/9000 loss=0.782062 (A_seg=0.157659, A_bce=0.072397, A_dice=0.341047, A_z=0.124856, A_pos=0.000492, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.053368, Bcue=0.066967)  z_acc=1.0000 k_acc=1.0000
step=4500/9000 loss=0.660878 (A_seg=0.138196, A_bce=0.062692, A_dice=0.302015, A_z=0.104516, A_pos=0.000410, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.052819, Bcue=0.067863)  z_acc=1.0000 k_acc=1.0000
step=4750/9000 loss=0.527346 (A_seg=0.120500, A_bce=0.051493, A_dice=0.276028, A_z=0.081350, A_pos=0.000375, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.052692, Bcue=0.066014)  z_acc=1.0000 k_acc=1.0000
step=5000/9000 loss=0.540358 (A_seg=0.200029, A_bce=0.104917, A_dice=0.380449, A_z=0.068039, A_pos=0.000538, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.059565, Bcue=0.070515)  z_acc=1.0000 k_acc=1.0000
step=5250/9000 loss=0.411070 (A_seg=0.137673, A_bce=0.061701, A_dice=0.303889, A_z=0.054660, A_pos=0.000386, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.053701, Bcue=0.067842)  z_acc=1.0000 k_acc=1.0000
step=5500/9000 loss=0.494545 (A_seg=0.217676, A_bce=0.116546, A_dice=0.404520, A_z=0.055340, A_pos=0.000669, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.058887, Bcue=0.071030)  z_acc=1.0000 k_acc=1.0000
step=5750/9000 loss=0.428438 (A_seg=0.204534, A_bce=0.106643, A_dice=0.391563, A_z=0.042956, A_pos=0.000708, A_rank_img=0.035783, A_rank_cue=0.000000, Bimg=0.059078, Bcue=0.072331)  z_acc=1.0000 k_acc=1.0000
step=6000/9000 loss=0.364277 (A_seg=0.174477, A_bce=0.086068, A_dice=0.353635, A_z=0.037935, A_pos=0.000509, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.058382, Bcue=0.070389)  z_acc=1.0000 k_acc=1.0000
