/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/aslmt_train_v15_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 2 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 12 --z-classes 6 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/v15_master_20260420_082149_5c9bb19a82ab.jsonl

step=250/9000 loss=9.695292 (A_seg=0.827021, A_bce=0.607065, A_dice=0.879826, A_z=1.737249, A_pos=0.024563, A_rank_img=0.672401, A_rank_cue=0.031122, Bimg=0.062351, Bcue=0.072650)  z_acc=0.0312 k_acc=1.0000
step=500/9000 loss=9.143783 (A_seg=0.778446, A_bce=0.561338, A_dice=0.868431, A_z=1.654096, A_pos=0.017271, A_rank_img=0.362146, A_rank_cue=0.000000, Bimg=0.062593, Bcue=0.072049)  z_acc=0.2656 k_acc=1.0000
step=750/9000 loss=8.447678 (A_seg=0.510167, A_bce=0.323799, A_dice=0.745473, A_z=1.586361, A_pos=0.008849, A_rank_img=0.013978, A_rank_cue=0.000000, Bimg=0.056521, Bcue=0.068624)  z_acc=0.2500 k_acc=1.0000
step=1000/9000 loss=8.611877 (A_seg=0.686750, A_bce=0.478226, A_dice=0.834095, A_z=1.568607, A_pos=0.011614, A_rank_img=0.316768, A_rank_cue=0.000000, Bimg=0.061933, Bcue=0.071866)  z_acc=0.1562 k_acc=1.0000
step=1250/9000 loss=8.316465 (A_seg=0.539492, A_bce=0.344862, A_dice=0.778521, A_z=1.541385, A_pos=0.009818, A_rank_img=0.270361, A_rank_cue=0.000000, Bimg=0.056105, Bcue=0.067024)  z_acc=0.1406 k_acc=1.0000
step=1500/9000 loss=8.149497 (A_seg=0.493948, A_bce=0.309787, A_dice=0.736644, A_z=1.529939, A_pos=0.009267, A_rank_img=0.014151, A_rank_cue=0.000000, Bimg=0.055927, Bcue=0.068537)  z_acc=0.2188 k_acc=1.0000
step=1750/9000 loss=8.096184 (A_seg=0.477346, A_bce=0.297006, A_dice=0.721360, A_z=1.523500, A_pos=0.005355, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.062107, Bcue=0.071102)  z_acc=0.1406 k_acc=1.0000
step=2000/9000 loss=8.554123 (A_seg=0.568521, A_bce=0.371636, A_dice=0.787538, A_z=1.590465, A_pos=0.008106, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.061287, Bcue=0.071785)  z_acc=0.0938 k_acc=1.0000
step=2250/9000 loss=8.645947 (A_seg=0.681957, A_bce=0.482786, A_dice=0.796684, A_z=1.576936, A_pos=0.011402, A_rank_img=0.305826, A_rank_cue=0.000000, Bimg=0.060779, Bcue=0.071555)  z_acc=0.3594 k_acc=1.0000
step=2500/9000 loss=7.872428 (A_seg=0.388123, A_bce=0.232729, A_dice=0.621577, A_z=1.496729, A_pos=0.002647, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.061723, Bcue=0.072814)  z_acc=0.2031 k_acc=1.0000
step=2750/9000 loss=8.287153 (A_seg=0.397876, A_bce=0.237285, A_dice=0.642366, A_z=1.477839, A_pos=0.006458, A_rank_img=1.993865, A_rank_cue=0.000000, Bimg=0.055281, Bcue=0.069730)  z_acc=0.3125 k_acc=1.0000
