/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/aslmt_train_v14_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 3 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 12 --z-classes 11 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/v14_master_20260418_024413_179911966af6.jsonl

step=5250/9000 loss=2.270998 (A_seg=0.255515, A_bce=0.141387, A_dice=0.456513, A_z=0.396453, A_pos=0.007881, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.054879, Bcue=0.067084)  z_acc=0.8438 k_acc=1.0000
step=5500/9000 loss=2.606537 (A_seg=0.293166, A_bce=0.166255, A_dice=0.507644, A_z=0.462220, A_pos=0.009083, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.055214, Bcue=0.068525)  z_acc=0.7500 k_acc=1.0000
step=5750/9000 loss=2.221589 (A_seg=0.329070, A_bce=0.201183, A_dice=0.511545, A_z=0.371598, A_pos=0.013119, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.061751, Bcue=0.072635)  z_acc=0.8750 k_acc=1.0000
step=6000/9000 loss=1.920247 (A_seg=0.261049, A_bce=0.139293, A_dice=0.487025, A_z=0.329358, A_pos=0.010188, A_rank_img=0.039433, A_rank_cue=0.000000, Bimg=0.054975, Bcue=0.069330)  z_acc=0.8750 k_acc=1.0000
step=6250/9000 loss=1.688326 (A_seg=0.185977, A_bce=0.091335, A_dice=0.378568, A_z=0.293716, A_pos=0.010064, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.054553, Bcue=0.067059)  z_acc=1.0000 k_acc=1.0000
step=6500/9000 loss=1.819525 (A_seg=0.214201, A_bce=0.108023, A_dice=0.424710, A_z=0.320195, A_pos=0.017408, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.056209, Bcue=0.067573)  z_acc=1.0000 k_acc=1.0000
step=6750/9000 loss=1.407966 (A_seg=0.243153, A_bce=0.135692, A_dice=0.429842, A_z=0.232309, A_pos=0.012633, A_rank_img=0.000441, A_rank_cue=0.000000, Bimg=0.061680, Bcue=0.071109)  z_acc=1.0000 k_acc=1.0000
step=7000/9000 loss=1.739067 (A_seg=0.219188, A_bce=0.107220, A_dice=0.447874, A_z=0.303051, A_pos=0.018493, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.055213, Bcue=0.066687)  z_acc=1.0000 k_acc=1.0000
step=7250/9000 loss=1.237076 (A_seg=0.173601, A_bce=0.081012, A_dice=0.370357, A_z=0.205954, A_pos=0.009824, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.055057, Bcue=0.066354)  z_acc=1.0000 k_acc=1.0000
step=7500/9000 loss=1.276610 (A_seg=0.329661, A_bce=0.213914, A_dice=0.462987, A_z=0.189083, A_pos=0.006145, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.061964, Bcue=0.071178)  z_acc=0.9844 k_acc=1.0000
step=7750/9000 loss=1.163827 (A_seg=0.177499, A_bce=0.082854, A_dice=0.378580, A_z=0.196631, A_pos=0.012694, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.055612, Bcue=0.068568)  z_acc=1.0000 k_acc=1.0000
step=8000/9000 loss=1.279982 (A_seg=0.289822, A_bce=0.175588, A_dice=0.456935, A_z=0.197495, A_pos=0.010731, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.061876, Bcue=0.072137)  z_acc=0.9688 k_acc=1.0000
step=8250/9000 loss=0.807203 (A_seg=0.162007, A_bce=0.075070, A_dice=0.347749, A_z=0.121918, A_pos=0.007840, A_rank_img=0.134571, A_rank_cue=0.000000, Bimg=0.055094, Bcue=0.068967)  z_acc=1.0000 k_acc=1.0000
step=8500/9000 loss=0.853806 (A_seg=0.236186, A_bce=0.124897, A_dice=0.445159, A_z=0.123169, A_pos=0.007105, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.062824, Bcue=0.071953)  z_acc=1.0000 k_acc=1.0000
step=8750/9000 loss=0.725483 (A_seg=0.156896, A_bce=0.073418, A_dice=0.333911, A_z=0.113087, A_pos=0.012611, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.055207, Bcue=0.068155)  z_acc=1.0000 k_acc=1.0000
step=9000/9000 loss=1.010371 (A_seg=0.352621, A_bce=0.243962, A_dice=0.434635, A_z=0.131030, A_pos=0.010397, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.060490, Bcue=0.071533)  z_acc=0.9688 k_acc=1.0000
{"kind": "aslmt_v14_unified_double_barrier_minlift_poswtdice_contractrank_imgcuerank_spaced2_64", "seed": 3, "n_classes": 12, "z_classes": 11, "train_ood_ratio": 0.5, "rank_ood_ratio": 0.5, "rank_n_ctx": 8, "rank_margin": 1.0, "w_z": 5.0, "w_k": 0.0, "w_pos": 0.25, "w_rank_img": 0.25, "w_rank_cue": 0.25, "w_bce": 1.0, "w_dice": 0.25, "bce_pos_weight": "batch", "metrics": {"iid": {"A_iou": 0.5051027834415436, "B_img_iou": 0.0, "B_cue_iou": 0.0, "z_acc": 1.0, "k_acc": 1.0}, "ood": {"A_iou": 0.42649297416210175, "B_img_iou": 0.0, "B_cue_iou": 0.0, "z_acc": 0.9921875, "k_acc": 1.0}}, "pair_eval": {"iid": {"n_ctx": 64, "ood": false, "obs_image_barrier_ok": true, "obs_cue_barrier_ok": true, "A_both_image_pair_rate": 0.984375, "A_both_cue_pair_rate": 1.0, "B_image_only_both_rate": 0.0, "B_cue_only_both_rate": 0.0, "A_ablated_both_image_pair_rate": 0.0, "A_swap_follow_image_pair_rate": 0.984375, "A_swap_orig_both_image_pair_rate": 0.0, "seed": 3}, "ood": {"n_ctx": 64, "ood": true, "obs_image_barrier_ok": true, "obs_cue_barrier_ok": true, "A_both_image_pair_rate": 0.984375, "A_both_cue_pair_rate": 1.0, "B_image_only_both_rate": 0.0, "B_cue_only_both_rate": 0.0, "A_ablated_both_image_pair_rate": 0.0, "A_swap_follow_image_pair_rate": 0.984375, "A_swap_orig_both_image_pair_rate": 0.0, "seed": 3}}}
