/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/aslmt_train_v14_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 3 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 12 --z-classes 6 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/v14_master_20260418_024413_179911966af6.jsonl

step=250/9000 loss=9.548431 (A_seg=0.867007, A_bce=0.645096, A_dice=0.887645, A_z=1.716057, A_pos=0.025744, A_rank_img=0.374175, A_rank_cue=0.004643, Bimg=0.062779, Bcue=0.072974)  z_acc=0.0938 k_acc=1.0000
step=500/9000 loss=9.123598 (A_seg=0.787796, A_bce=0.572430, A_dice=0.861465, A_z=1.635279, A_pos=0.016670, A_rank_img=0.620950, A_rank_cue=0.000000, Bimg=0.062234, Bcue=0.071499)  z_acc=0.3594 k_acc=1.0000
step=750/9000 loss=8.730062 (A_seg=0.580732, A_bce=0.380304, A_dice=0.801713, A_z=1.592359, A_pos=0.013994, A_rank_img=0.736145, A_rank_cue=0.000000, Bimg=0.055745, Bcue=0.066705)  z_acc=0.3281 k_acc=1.0000
step=1000/9000 loss=8.465651 (A_seg=0.585184, A_bce=0.384132, A_dice=0.804205, A_z=1.565060, A_pos=0.009955, A_rank_img=0.210712, A_rank_cue=0.000000, Bimg=0.122678, Bcue=0.066181)  z_acc=0.0938 k_acc=1.0000
step=1250/9000 loss=8.579314 (A_seg=0.715549, A_bce=0.524317, A_dice=0.764928, A_z=1.572283, A_pos=0.009397, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.062717, Bcue=0.071497)  z_acc=0.2031 k_acc=1.0000
step=1500/9000 loss=8.285060 (A_seg=0.496475, A_bce=0.306146, A_dice=0.761313, A_z=1.556502, A_pos=0.011674, A_rank_img=0.012624, A_rank_cue=0.000000, Bimg=0.055634, Bcue=0.067851)  z_acc=0.2344 k_acc=1.0000
step=1750/9000 loss=8.398870 (A_seg=0.369286, A_bce=0.208238, A_dice=0.644192, A_z=1.605694, A_pos=0.004452, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.055862, Bcue=0.067554)  z_acc=0.1250 k_acc=1.0000
step=2000/9000 loss=8.598456 (A_seg=0.400330, A_bce=0.238037, A_dice=0.649172, A_z=1.621316, A_pos=0.005117, A_rank_img=0.361068, A_rank_cue=0.000000, Bimg=0.055859, Bcue=0.068270)  z_acc=0.1719 k_acc=1.0000
step=2250/9000 loss=7.841789 (A_seg=0.339452, A_bce=0.188807, A_dice=0.602579, A_z=1.500241, A_pos=0.004535, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.055705, Bcue=0.067003)  z_acc=0.1406 k_acc=1.0000
step=2500/9000 loss=8.171528 (A_seg=0.392300, A_bce=0.233840, A_dice=0.633843, A_z=1.555740, A_pos=0.002104, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.062003, Bcue=0.072220)  z_acc=0.1406 k_acc=1.0000
step=2750/9000 loss=8.128347 (A_seg=0.463445, A_bce=0.281513, A_dice=0.727730, A_z=1.532223, A_pos=0.010266, A_rank_img=0.004873, A_rank_cue=0.000000, Bimg=0.063726, Bcue=0.074818)  z_acc=0.2188 k_acc=1.0000
