/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/aslmt_train_v14_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 2 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 16 --z-classes 16 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/v14_master_20260418_024413_179911966af6.jsonl --out-ckpt /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/ckpt_20260418_024413_179911966af6_n16_z16_seed2.pt --out-faildump-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/faildump_20260418_024413_179911966af6_n16_z16_seed2.jsonl

step=4750/9000 loss=1.111401 (A_seg=0.148495, A_bce=0.073530, A_dice=0.299859, A_z=0.192558, A_pos=0.000460, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.080382, Bcue=0.081362)  z_acc=1.0000 k_acc=1.0000
step=5000/9000 loss=1.156476 (A_seg=0.176673, A_bce=0.100431, A_dice=0.304967, A_z=0.195936, A_pos=0.000502, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.079423, Bcue=0.081243)  z_acc=0.9844 k_acc=1.0000
step=5250/9000 loss=1.138301 (A_seg=0.248301, A_bce=0.154942, A_dice=0.373434, A_z=0.177836, A_pos=0.003290, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.079917, Bcue=0.080233)  z_acc=0.9844 k_acc=1.0000
step=5500/9000 loss=0.788231 (A_seg=0.123073, A_bce=0.055660, A_dice=0.269654, A_z=0.132998, A_pos=0.000670, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.078329, Bcue=0.079460)  z_acc=1.0000 k_acc=1.0000
step=5750/9000 loss=0.645071 (A_seg=0.115702, A_bce=0.052246, A_dice=0.253821, A_z=0.105849, A_pos=0.000499, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.073000, Bcue=0.078284)  z_acc=1.0000 k_acc=1.0000
step=6000/9000 loss=0.651801 (A_seg=0.139665, A_bce=0.062858, A_dice=0.307228, A_z=0.102406, A_pos=0.000414, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.078686, Bcue=0.080155)  z_acc=1.0000 k_acc=1.0000
step=6250/9000 loss=0.580522 (A_seg=0.167646, A_bce=0.090412, A_dice=0.308937, A_z=0.082542, A_pos=0.000665, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.078854, Bcue=0.078879)  z_acc=1.0000 k_acc=1.0000
step=6500/9000 loss=0.515872 (A_seg=0.128904, A_bce=0.055832, A_dice=0.292289, A_z=0.077379, A_pos=0.000297, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.071978, Bcue=0.075288)  z_acc=1.0000 k_acc=1.0000
step=6750/9000 loss=0.678765 (A_seg=0.202307, A_bce=0.129021, A_dice=0.293144, A_z=0.095221, A_pos=0.001417, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.077585, Bcue=0.077955)  z_acc=0.9844 k_acc=1.0000
step=7000/9000 loss=0.489774 (A_seg=0.208250, A_bce=0.119543, A_dice=0.354825, A_z=0.056234, A_pos=0.001427, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.071788, Bcue=0.075911)  z_acc=1.0000 k_acc=1.0000
step=7250/9000 loss=0.448835 (A_seg=0.146110, A_bce=0.074837, A_dice=0.285091, A_z=0.060473, A_pos=0.001446, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.071539, Bcue=0.076628)  z_acc=1.0000 k_acc=1.0000
step=7500/9000 loss=0.410856 (A_seg=0.155767, A_bce=0.081692, A_dice=0.296302, A_z=0.050992, A_pos=0.000524, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.077639, Bcue=0.079095)  z_acc=1.0000 k_acc=1.0000
step=7750/9000 loss=0.368394 (A_seg=0.141237, A_bce=0.066447, A_dice=0.299163, A_z=0.045406, A_pos=0.000503, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.078052, Bcue=0.077896)  z_acc=1.0000 k_acc=1.0000
step=8000/9000 loss=0.306661 (A_seg=0.110980, A_bce=0.054855, A_dice=0.224500, A_z=0.039126, A_pos=0.000199, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.078233, Bcue=0.078546)  z_acc=1.0000 k_acc=1.0000
step=8250/9000 loss=0.292789 (A_seg=0.119303, A_bce=0.060342, A_dice=0.235842, A_z=0.034682, A_pos=0.000301, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.071442, Bcue=0.075776)  z_acc=1.0000 k_acc=1.0000
step=8500/9000 loss=0.233585 (A_seg=0.091823, A_bce=0.042092, A_dice=0.198924, A_z=0.028341, A_pos=0.000219, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.072127, Bcue=0.074467)  z_acc=1.0000 k_acc=1.0000
step=8750/9000 loss=0.457519 (A_seg=0.194815, A_bce=0.129394, A_dice=0.261684, A_z=0.052524, A_pos=0.000332, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.077552, Bcue=0.078322)  z_acc=0.9844 k_acc=1.0000
step=9000/9000 loss=0.276261 (A_seg=0.142181, A_bce=0.083515, A_dice=0.234663, A_z=0.026809, A_pos=0.000138, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.077287, Bcue=0.077401)  z_acc=1.0000 k_acc=1.0000
{"kind": "aslmt_v14_unified_double_barrier_minlift_poswtdice_contractrank_imgcuerank_spaced2_64", "seed": 2, "n_classes": 16, "z_classes": 16, "train_ood_ratio": 0.5, "rank_ood_ratio": 0.5, "rank_n_ctx": 8, "rank_margin": 1.0, "w_z": 5.0, "w_k": 0.0, "w_pos": 0.25, "w_rank_img": 0.25, "w_rank_cue": 0.25, "w_bce": 1.0, "w_dice": 0.25, "bce_pos_weight": "batch", "metrics": {"iid": {"A_iou": 0.7054225504398346, "B_img_iou": 0.0, "B_cue_iou": 0.0, "z_acc": 1.0, "k_acc": 1.0}, "ood": {"A_iou": 0.6658245772123337, "B_img_iou": 0.0, "B_cue_iou": 0.0, "z_acc": 0.9970703125, "k_acc": 1.0}}, "pair_eval": {"iid": {"n_ctx": 64, "ood": false, "obs_image_barrier_ok": true, "obs_cue_barrier_ok": true, "A_both_image_pair_rate": 1.0, "A_both_cue_pair_rate": 1.0, "B_image_only_both_rate": 0.0, "B_cue_only_both_rate": 0.0, "A_ablated_both_image_pair_rate": 0.0, "A_swap_follow_image_pair_rate": 1.0, "A_swap_orig_both_image_pair_rate": 0.0, "seed": 2}, "ood": {"n_ctx": 64, "ood": true, "obs_image_barrier_ok": true, "obs_cue_barrier_ok": true, "A_both_image_pair_rate": 1.0, "A_both_cue_pair_rate": 1.0, "B_image_only_both_rate": 0.0, "B_cue_only_both_rate": 0.0, "A_ablated_both_image_pair_rate": 0.0, "A_swap_follow_image_pair_rate": 1.0, "A_swap_orig_both_image_pair_rate": 0.0, "seed": 2}}}
