/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/aslmt_train_v14_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 0 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 16 --z-classes 16 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/v14_master_20260418_024413_179911966af6.jsonl --out-ckpt /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/ckpt_20260418_024413_179911966af6_n16_z16_seed0.pt --out-faildump-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/faildump_20260418_024413_179911966af6_n16_z16_seed0.jsonl

step=250/9000 loss=13.391189 (A_seg=1.009385, A_bce=0.784322, A_dice=0.900253, A_z=2.442723, A_pos=0.051200, A_rank_img=0.416291, A_rank_cue=0.205260, Bimg=0.082837, Bcue=0.088539)  z_acc=0.5312 k_acc=1.0000
step=500/9000 loss=10.759534 (A_seg=0.881824, A_bce=0.662293, A_dice=0.878126, A_z=1.956742, A_pos=0.032232, A_rank_img=0.343758, A_rank_cue=0.000000, Bimg=0.074486, Bcue=0.082269)  z_acc=0.6250 k_acc=1.0000
step=750/9000 loss=8.969306 (A_seg=0.822570, A_bce=0.608107, A_dice=0.857850, A_z=1.612476, A_pos=0.017030, A_rank_img=0.320385, A_rank_cue=0.000000, Bimg=0.092400, Bcue=0.086929)  z_acc=0.8438 k_acc=1.0000
step=1000/9000 loss=7.518002 (A_seg=0.748886, A_bce=0.541590, A_dice=0.829184, A_z=1.348831, A_pos=0.011023, A_rank_img=0.088814, A_rank_cue=0.000000, Bimg=0.082202, Bcue=0.087256)  z_acc=0.9531 k_acc=1.0000
step=1250/9000 loss=6.032853 (A_seg=0.570267, A_bce=0.384288, A_dice=0.743914, A_z=1.088770, A_pos=0.006288, A_rank_img=0.068653, A_rank_cue=0.000000, Bimg=0.081955, Bcue=0.087208)  z_acc=1.0000 k_acc=1.0000
step=1500/9000 loss=5.160683 (A_seg=0.485505, A_bce=0.319472, A_dice=0.664131, A_z=0.928130, A_pos=0.005341, A_rank_img=0.099812, A_rank_cue=0.032955, Bimg=0.074607, Bcue=0.082977)  z_acc=1.0000 k_acc=1.0000
step=1750/9000 loss=4.588237 (A_seg=0.446062, A_bce=0.280944, A_dice=0.660471, A_z=0.828201, A_pos=0.004690, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.073537, Bcue=0.080702)  z_acc=1.0000 k_acc=1.0000
step=2000/9000 loss=4.254164 (A_seg=0.493230, A_bce=0.322634, A_dice=0.682384, A_z=0.751561, A_pos=0.004904, A_rank_img=0.007617, A_rank_cue=0.000000, Bimg=0.080244, Bcue=0.085577)  z_acc=1.0000 k_acc=1.0000
step=2250/9000 loss=3.670848 (A_seg=0.424447, A_bce=0.270321, A_dice=0.616506, A_z=0.649087, A_pos=0.003853, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.080873, Bcue=0.088130)  z_acc=1.0000 k_acc=1.0000
step=2500/9000 loss=3.256183 (A_seg=0.379942, A_bce=0.237606, A_dice=0.569343, A_z=0.575107, A_pos=0.002828, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.079764, Bcue=0.086103)  z_acc=1.0000 k_acc=1.0000
step=2750/9000 loss=2.726660 (A_seg=0.360411, A_bce=0.216344, A_dice=0.576265, A_z=0.473120, A_pos=0.002606, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.081213, Bcue=0.086267)  z_acc=1.0000 k_acc=1.0000
step=3000/9000 loss=2.472051 (A_seg=0.349990, A_bce=0.213225, A_dice=0.547061, A_z=0.424306, A_pos=0.002113, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.079977, Bcue=0.086497)  z_acc=1.0000 k_acc=1.0000
step=3250/9000 loss=2.572620 (A_seg=0.469584, A_bce=0.344295, A_dice=0.501155, A_z=0.420454, A_pos=0.003058, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.080598, Bcue=0.087571)  z_acc=0.9531 k_acc=1.0000
step=3500/9000 loss=1.950046 (A_seg=0.413448, A_bce=0.272094, A_dice=0.565419, A_z=0.307155, A_pos=0.003295, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.079818, Bcue=0.086650)  z_acc=0.9844 k_acc=1.0000
step=3750/9000 loss=1.617885 (A_seg=0.309158, A_bce=0.181854, A_dice=0.509215, A_z=0.261632, A_pos=0.002260, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.079975, Bcue=0.087659)  z_acc=1.0000 k_acc=1.0000
step=4000/9000 loss=1.471689 (A_seg=0.299368, A_bce=0.176753, A_dice=0.490460, A_z=0.234377, A_pos=0.001741, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.078743, Bcue=0.085523)  z_acc=1.0000 k_acc=1.0000
step=4250/9000 loss=1.286198 (A_seg=0.328274, A_bce=0.194184, A_dice=0.536363, A_z=0.191499, A_pos=0.001725, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.078375, Bcue=0.085618)  z_acc=1.0000 k_acc=1.0000
step=4500/9000 loss=1.102895 (A_seg=0.246100, A_bce=0.131453, A_dice=0.458586, A_z=0.171260, A_pos=0.001993, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.073294, Bcue=0.081164)  z_acc=1.0000 k_acc=1.0000
step=4750/9000 loss=1.031633 (A_seg=0.338688, A_bce=0.202900, A_dice=0.543151, A_z=0.138470, A_pos=0.002387, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.080803, Bcue=0.085783)  z_acc=1.0000 k_acc=1.0000
step=5000/9000 loss=0.965847 (A_seg=0.294687, A_bce=0.167179, A_dice=0.510033, A_z=0.134093, A_pos=0.002787, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.073415, Bcue=0.082453)  z_acc=1.0000 k_acc=1.0000
step=5250/9000 loss=0.803498 (A_seg=0.284415, A_bce=0.161136, A_dice=0.493116, A_z=0.103695, A_pos=0.002426, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.078330, Bcue=0.086667)  z_acc=1.0000 k_acc=1.0000
step=5500/9000 loss=0.686713 (A_seg=0.232010, A_bce=0.123065, A_dice=0.435782, A_z=0.090854, A_pos=0.001733, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.072946, Bcue=0.080427)  z_acc=1.0000 k_acc=1.0000
step=5750/9000 loss=0.941777 (A_seg=0.346866, A_bce=0.223914, A_dice=0.491806, A_z=0.118850, A_pos=0.002642, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.079473, Bcue=0.086951)  z_acc=0.9844 k_acc=1.0000
step=6000/9000 loss=0.727996 (A_seg=0.386346, A_bce=0.256352, A_dice=0.519973, A_z=0.068239, A_pos=0.001826, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.079291, Bcue=0.083753)  z_acc=1.0000 k_acc=1.0000
step=6250/9000 loss=0.579596 (A_seg=0.293075, A_bce=0.170089, A_dice=0.491943, A_z=0.057180, A_pos=0.002487, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.072640, Bcue=0.081422)  z_acc=1.0000 k_acc=1.0000
step=6500/9000 loss=0.514594 (A_seg=0.276177, A_bce=0.151755, A_dice=0.497685, A_z=0.047528, A_pos=0.003104, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.072847, Bcue=0.081262)  z_acc=1.0000 k_acc=1.0000
step=6750/9000 loss=0.509977 (A_seg=0.310749, A_bce=0.187011, A_dice=0.494950, A_z=0.039765, A_pos=0.001604, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.078839, Bcue=0.085775)  z_acc=1.0000 k_acc=1.0000
step=7000/9000 loss=0.414696 (A_seg=0.207822, A_bce=0.109020, A_dice=0.395209, A_z=0.041275, A_pos=0.002000, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.072696, Bcue=0.079967)  z_acc=1.0000 k_acc=1.0000
step=7250/9000 loss=0.815608 (A_seg=0.378280, A_bce=0.250894, A_dice=0.509543, A_z=0.087362, A_pos=0.002071, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.078868, Bcue=0.084470)  z_acc=0.9688 k_acc=1.0000
step=7500/9000 loss=0.398155 (A_seg=0.239393, A_bce=0.138357, A_dice=0.404144, A_z=0.031712, A_pos=0.000819, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.078923, Bcue=0.084782)  z_acc=1.0000 k_acc=1.0000
step=7750/9000 loss=0.344406 (A_seg=0.210638, A_bce=0.111060, A_dice=0.398313, A_z=0.026666, A_pos=0.001758, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.072801, Bcue=0.080492)  z_acc=1.0000 k_acc=1.0000
step=8000/9000 loss=0.688569 (A_seg=0.398937, A_bce=0.272318, A_dice=0.506474, A_z=0.057810, A_pos=0.002326, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.078208, Bcue=0.083961)  z_acc=0.9844 k_acc=1.0000
step=8250/9000 loss=0.402757 (A_seg=0.274265, A_bce=0.159804, A_dice=0.457843, A_z=0.025624, A_pos=0.001489, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.079579, Bcue=0.084855)  z_acc=1.0000 k_acc=1.0000
