/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/aslmt_train_v14_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 4 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 12 --z-classes 6 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/v14_master_20260418_024413_179911966af6.jsonl

step=250/9000 loss=9.798336 (A_seg=0.875424, A_bce=0.651691, A_dice=0.894931, A_z=1.735738, A_pos=0.024590, A_rank_img=0.920258, A_rank_cue=0.032040, Bimg=0.061876, Bcue=0.071202)  z_acc=0.1875 k_acc=1.0000
step=500/9000 loss=9.107798 (A_seg=0.657929, A_bce=0.449078, A_dice=0.835401, A_z=1.675418, A_pos=0.021104, A_rank_img=0.270015, A_rank_cue=0.000000, Bimg=0.056686, Bcue=0.069823)  z_acc=0.2031 k_acc=1.0000
step=750/9000 loss=8.589724 (A_seg=0.622211, A_bce=0.417640, A_dice=0.818283, A_z=1.582368, A_pos=0.017681, A_rank_img=0.205015, A_rank_cue=0.000000, Bimg=0.056119, Bcue=0.066924)  z_acc=0.1562 k_acc=1.0000
step=1000/9000 loss=8.403077 (A_seg=0.576523, A_bce=0.376085, A_dice=0.801754, A_z=1.550039, A_pos=0.010059, A_rank_img=0.295378, A_rank_cue=0.000000, Bimg=0.055570, Bcue=0.068280)  z_acc=0.1875 k_acc=1.0000
step=1250/9000 loss=8.229479 (A_seg=0.620788, A_bce=0.416387, A_dice=0.817603, A_z=1.507379, A_pos=0.010960, A_rank_img=0.276215, A_rank_cue=0.000000, Bimg=0.054303, Bcue=0.068033)  z_acc=0.2500 k_acc=1.0000
step=1500/9000 loss=8.167752 (A_seg=0.628504, A_bce=0.427894, A_dice=0.802442, A_z=1.503993, A_pos=0.008820, A_rank_img=0.068308, A_rank_cue=0.000000, Bimg=0.060974, Bcue=0.071552)  z_acc=0.1875 k_acc=1.0000
step=1750/9000 loss=8.189858 (A_seg=0.421404, A_bce=0.247213, A_dice=0.696764, A_z=1.553404, A_pos=0.005738, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.054556, Bcue=0.067474)  z_acc=0.1562 k_acc=1.0000
step=2000/9000 loss=8.126326 (A_seg=0.522966, A_bce=0.332077, A_dice=0.763555, A_z=1.513924, A_pos=0.008975, A_rank_img=0.125987, A_rank_cue=0.000000, Bimg=0.059143, Bcue=0.071462)  z_acc=0.1250 k_acc=1.0000
step=2250/9000 loss=8.133552 (A_seg=0.463741, A_bce=0.283566, A_dice=0.720699, A_z=1.533643, A_pos=0.006382, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.058447, Bcue=0.071020)  z_acc=0.1406 k_acc=1.0000
step=2500/9000 loss=8.858921 (A_seg=0.485959, A_bce=0.301055, A_dice=0.739617, A_z=1.673361, A_pos=0.007549, A_rank_img=0.017088, A_rank_cue=0.000000, Bimg=0.058580, Bcue=0.071758)  z_acc=0.1250 k_acc=1.0000
step=2750/9000 loss=8.212508 (A_seg=0.345312, A_bce=0.191945, A_dice=0.613466, A_z=1.573270, A_pos=0.003393, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.053450, Bcue=0.069662)  z_acc=0.1250 k_acc=1.0000
