/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/aslmt_train_v14_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 4 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 12 --z-classes 11 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/v14_master_20260418_024413_179911966af6.jsonl

step=250/9000 loss=12.260458 (A_seg=0.805094, A_bce=0.586328, A_dice=0.875066, A_z=2.237845, A_pos=0.025758, A_rank_img=1.000000, A_rank_cue=0.038792, Bimg=0.063068, Bcue=0.071429)  z_acc=0.1406 k_acc=1.0000
step=500/9000 loss=10.609687 (A_seg=0.811429, A_bce=0.590966, A_dice=0.881855, A_z=1.911184, A_pos=0.029914, A_rank_img=0.909759, A_rank_cue=0.029686, Bimg=0.057263, Bcue=0.069823)  z_acc=0.4219 k_acc=1.0000
step=750/9000 loss=8.569172 (A_seg=0.718764, A_bce=0.503735, A_dice=0.860117, A_z=1.559273, A_pos=0.019876, A_rank_img=0.196294, A_rank_cue=0.000000, Bimg=0.056746, Bcue=0.067279)  z_acc=0.5625 k_acc=1.0000
step=1000/9000 loss=7.959462 (A_seg=0.676914, A_bce=0.465750, A_dice=0.844656, A_z=1.430969, A_pos=0.016043, A_rank_img=0.494762, A_rank_cue=0.000000, Bimg=0.056205, Bcue=0.068367)  z_acc=0.5156 k_acc=1.0000
step=1250/9000 loss=6.856936 (A_seg=0.760396, A_bce=0.542748, A_dice=0.870591, A_z=1.195347, A_pos=0.017623, A_rank_img=0.169881, A_rank_cue=0.291709, Bimg=0.056078, Bcue=0.068117)  z_acc=0.6875 k_acc=1.0000
step=1500/9000 loss=6.693477 (A_seg=0.763159, A_bce=0.549037, A_dice=0.856491, A_z=1.175567, A_pos=0.018383, A_rank_img=0.191552, A_rank_cue=0.000000, Bimg=0.063381, Bcue=0.071521)  z_acc=0.6719 k_acc=1.0000
step=1750/9000 loss=5.854369 (A_seg=0.438593, A_bce=0.271599, A_dice=0.667978, A_z=1.079832, A_pos=0.003962, A_rank_img=0.062500, A_rank_cue=0.000000, Bimg=0.055996, Bcue=0.067407)  z_acc=0.6250 k_acc=1.0000
step=2000/9000 loss=4.846311 (A_seg=0.418499, A_bce=0.263359, A_dice=0.620558, A_z=0.881327, A_pos=0.001383, A_rank_img=0.083325, A_rank_cue=0.000000, Bimg=0.062397, Bcue=0.071457)  z_acc=0.7500 k_acc=1.0000
step=2250/9000 loss=4.830655 (A_seg=0.509820, A_bce=0.343972, A_dice=0.663395, A_z=0.864001, A_pos=0.003315, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.061326, Bcue=0.072089)  z_acc=0.7344 k_acc=1.0000
step=2500/9000 loss=4.596369 (A_seg=0.481185, A_bce=0.314242, A_dice=0.667771, A_z=0.822766, A_pos=0.005420, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.061218, Bcue=0.071757)  z_acc=0.7188 k_acc=1.0000
step=2750/9000 loss=3.986596 (A_seg=0.379792, A_bce=0.231198, A_dice=0.594378, A_z=0.717820, A_pos=0.006045, A_rank_img=0.064769, A_rank_cue=0.000000, Bimg=0.055245, Bcue=0.067532)  z_acc=0.8594 k_acc=1.0000
step=3000/9000 loss=4.013554 (A_seg=0.346605, A_bce=0.204200, A_dice=0.569622, A_z=0.730037, A_pos=0.007980, A_rank_img=0.059077, A_rank_cue=0.000000, Bimg=0.055260, Bcue=0.067439)  z_acc=0.7812 k_acc=1.0000
step=3250/9000 loss=4.326585 (A_seg=0.409963, A_bce=0.252846, A_dice=0.628467, A_z=0.776105, A_pos=0.019391, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.060470, Bcue=0.072135)  z_acc=0.7969 k_acc=1.0000
step=3500/9000 loss=3.644977 (A_seg=0.397776, A_bce=0.245354, A_dice=0.609689, A_z=0.648795, A_pos=0.012897, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.061151, Bcue=0.072250)  z_acc=0.7812 k_acc=1.0000
