/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/aslmt_train_v14_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 0 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 8 --z-classes 8 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/v14_master_20260418_024413_179911966af6.jsonl --out-ckpt /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/ckpt_20260418_024413_179911966af6_n8_z8_seed0.pt --out-faildump-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/faildump_20260418_024413_179911966af6_n8_z8_seed0.jsonl

step=250/9000 loss=10.092428 (A_seg=0.514567, A_bce=0.311554, A_dice=0.812054, A_z=1.887649, A_pos=0.009770, A_rank_img=0.546885, A_rank_cue=0.001806, Bimg=0.039463, Bcue=0.054706)  z_acc=0.8438 k_acc=1.0000
step=500/9000 loss=7.997448 (A_seg=0.663001, A_bce=0.453269, A_dice=0.838928, A_z=1.438972, A_pos=0.007943, A_rank_img=0.550410, A_rank_cue=0.000000, Bimg=0.043414, Bcue=0.057412)  z_acc=0.6094 k_acc=1.0000
step=750/9000 loss=6.278966 (A_seg=0.504792, A_bce=0.313692, A_dice=0.764401, A_z=1.145344, A_pos=0.002828, A_rank_img=0.186980, A_rank_cue=0.000000, Bimg=0.044111, Bcue=0.059381)  z_acc=1.0000 k_acc=1.0000
step=1000/9000 loss=4.867743 (A_seg=0.297902, A_bce=0.182127, A_dice=0.463103, A_z=0.913924, A_pos=0.000875, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.043471, Bcue=0.058835)  z_acc=0.9844 k_acc=1.0000
step=1250/9000 loss=3.860265 (A_seg=0.242991, A_bce=0.107077, A_dice=0.543657, A_z=0.720215, A_pos=0.000921, A_rank_img=0.063875, A_rank_cue=0.000000, Bimg=0.037982, Bcue=0.055083)  z_acc=1.0000 k_acc=1.0000
step=1500/9000 loss=3.289251 (A_seg=0.199920, A_bce=0.097838, A_dice=0.408329, A_z=0.617745, A_pos=0.000318, A_rank_img=0.002100, A_rank_cue=0.000000, Bimg=0.043576, Bcue=0.058310)  z_acc=1.0000 k_acc=1.0000
step=1750/9000 loss=2.582993 (A_seg=0.322436, A_bce=0.185406, A_dice=0.548118, A_z=0.451979, A_pos=0.002648, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.043436, Bcue=0.059542)  z_acc=0.9844 k_acc=1.0000
step=2000/9000 loss=2.024730 (A_seg=0.232071, A_bce=0.119774, A_dice=0.449186, A_z=0.358510, A_pos=0.000446, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.043161, Bcue=0.060558)  z_acc=1.0000 k_acc=1.0000
step=2250/9000 loss=2.041731 (A_seg=0.333325, A_bce=0.201289, A_dice=0.528145, A_z=0.341393, A_pos=0.005772, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.042558, Bcue=0.059437)  z_acc=0.9844 k_acc=1.0000
step=2500/9000 loss=2.112978 (A_seg=0.524860, A_bce=0.358547, A_dice=0.665253, A_z=0.297549, A_pos=0.009378, A_rank_img=0.252310, A_rank_cue=0.139803, Bimg=0.036090, Bcue=0.055711)  z_acc=1.0000 k_acc=1.0000
step=2750/9000 loss=1.786670 (A_seg=0.286573, A_bce=0.192561, A_dice=0.376048, A_z=0.299954, A_pos=0.001316, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.041335, Bcue=0.059318)  z_acc=0.9688 k_acc=1.0000
