timestamp: 2026-04-11 22:40:41
snapshot_tag: 20260411_083117_843fe3a41e75
seed: 4
profile: solid
cfg_name: C1_mid
cfg: {"iid_n_occluders_max": 6, "iid_n_occluders_min": 2, "iid_occ_size_max": 6, "iid_occ_size_min": 3, "img_size": 32, "ood_center_radius": 10, "ood_noise_occluders": 2, "ood_noise_radius": 3, "thickness_max": 4, "thickness_min": 2}
self_sha256: 72112815e9184c7a4ce8a297d161456162e10d9f6b3409af991e3216f7da74cf
cmd: /mnt/c/Users/frederick/Documents/Compatibility_Obstructions_in_Fibered_Relational_Systems/Python/private/aslmt/snapshots/aslmt_law_v5b_amodal_localclass_20260411_083117_843fe3a41e75/aslmt_train_law_v5b_amodal_localclass_family_20260411_083117_843fe3a41e75.py --snapshot-tag 20260411_083117_843fe3a41e75 --seed 4 --profile solid --device cuda --cfg-name C1_mid --out-jsonl /mnt/c/Users/frederick/Documents/Compatibility_Obstructions_in_Fibered_Relational_Systems/Python/private/aslmt/runs/aslmt_law_v5b_amodal_localclass_20260411_083117_843fe3a41e75/master_20260411_083117_843fe3a41e75.jsonl --out-txt /mnt/c/Users/frederick/Documents/Compatibility_Obstructions_in_Fibered_Relational_Systems/Python/private/aslmt/runs/aslmt_law_v5b_amodal_localclass_20260411_083117_843fe3a41e75/log_20260411_083117_843fe3a41e75_C1_mid_seed4.txt
baselines: ["B1_local_fcn", "B2_local_fcn_wide_rf9", "B3_window_mlp8"]
step 1/30000 A.seg=0.7155 A.jepa=0.3740 | B_last.seg=0.6978
step 2000/30000 A.seg=0.0190 A.jepa=-0.7537 | B_last.seg=0.2325
step 4000/30000 A.seg=0.0096 A.jepa=-0.7699 | B_last.seg=0.2302
step 6000/30000 A.seg=0.0091 A.jepa=-0.7281 | B_last.seg=0.2296
step 8000/30000 A.seg=0.0050 A.jepa=-0.7290 | B_last.seg=0.2254
step 10000/30000 A.seg=0.0053 A.jepa=-0.7597 | B_last.seg=0.2329
step 12000/30000 A.seg=0.0037 A.jepa=-0.7579 | B_last.seg=0.2150
step 14000/30000 A.seg=0.0026 A.jepa=-0.7688 | B_last.seg=0.2167
step 16000/30000 A.seg=0.0010 A.jepa=-0.7733 | B_last.seg=0.2171
step 18000/30000 A.seg=0.0023 A.jepa=-0.7719 | B_last.seg=0.2277
step 20000/30000 A.seg=0.0021 A.jepa=-0.7682 | B_last.seg=0.2155
step 22000/30000 A.seg=0.0032 A.jepa=-0.7841 | B_last.seg=0.2207
step 24000/30000 A.seg=0.0034 A.jepa=-0.7835 | B_last.seg=0.2020
step 26000/30000 A.seg=0.0018 A.jepa=-0.7904 | B_last.seg=0.2095
step 28000/30000 A.seg=0.0077 A.jepa=-0.7764 | B_last.seg=0.2159
step 30000/30000 A.seg=0.0030 A.jepa=-0.7632 | B_last.seg=0.2158
